,Fecha Hora,Fecha Hora(RAW),Tiempo de carga en mseg,Tiempo de carga(RAW),Porcentaje de tiempo de inactividad,Tiempo de inactividad(RAW),Porcentaje de cobertura,Cobertura(RAW)
49,16-06-2023 1:00:00 - 2:00:00,45093.25,NULL,NULL,NULL,NULL,0 ,0.0
50,16-06-2023 2:00:00 - 3:00:00,45093.2916666667,NULL,NULL,NULL,NULL,0 ,0.0
51,16-06-2023 3:00:00 - 4:00:00,45093.3333333333,NULL,NULL,NULL,NULL,0 ,0.0
52,16-06-2023 4:00:00 - 5:00:00,45093.375,NULL,NULL,NULL,NULL,0 ,0.0
53,16-06-2023 5:00:00 - 6:00:00,45093.4166666667,NULL,NULL,NULL,NULL,0 ,0.0
54,16-06-2023 6:00:00 - 7:00:00,45093.4583333333,NULL,NULL,NULL,NULL,0 ,0.0
55,16-06-2023 7:00:00 - 8:00:00,45093.5,NULL,NULL,NULL,NULL,0 ,0.0
56,16-06-2023 8:00:00 - 9:00:00,45093.5416666667,NULL,NULL,NULL,NULL,0 ,0.0
57,16-06-2023 9:00:00 - 10:00:00,45093.5833333333,NULL,NULL,NULL,NULL,0 ,0.0
58,16-06-2023 10:00:00 - 11:00:00,45093.625,NULL,NULL,NULL,NULL,0 ,0.0
59,16-06-2023 11:00:00 - 12:00:00,45093.6666666667,NULL,NULL,NULL,NULL,0 ,0.0
60,16-06-2023 12:00:00 - 13:00:00,45093.7083333333,NULL,NULL,NULL,NULL,0 ,0.0
61,16-06-2023 13:00:00 - 14:00:00,45093.75,NULL,NULL,NULL,NULL,0 ,0.0
62,16-06-2023 14:00:00 - 15:00:00,45093.7916666667,NULL,NULL,NULL,NULL,0 ,0.0
63,16-06-2023 15:00:00 - 16:00:00,45093.8333333333,NULL,NULL,NULL,NULL,0 ,0.0
64,16-06-2023 16:00:00 - 17:00:00,45093.875,NULL,NULL,NULL,NULL,0 ,0.0
65,16-06-2023 17:00:00 - 18:00:00,45093.9166666667,NULL,NULL,NULL,NULL,0 ,0.0
66,16-06-2023 18:00:00 - 19:00:00,45093.9583333333,NULL,NULL,NULL,NULL,0 ,0.0
67,16-06-2023 19:00:00 - 20:00:00,45094.0,NULL,NULL,NULL,NULL,0 ,0.0
68,16-06-2023 20:00:00 - 21:00:00,45094.0416666667,NULL,NULL,NULL,NULL,0 ,0.0
69,16-06-2023 21:00:00 - 22:00:00,45094.0833333333,NULL,NULL,NULL,NULL,0 ,0.0
70,16-06-2023 22:00:00 - 23:00:00,45094.125,NULL,NULL,NULL,NULL,0 ,0.0
71,16-06-2023 23:00:00 - 0:00:00,45094.1666666667,NULL,NULL,NULL,NULL,0 ,0.0
72,17-06-2023 0:00:00 - 1:00:00,45094.2083333333,NULL,NULL,NULL,NULL,0 ,0.0
73,17-06-2023 1:00:00 - 2:00:00,45094.25,NULL,NULL,NULL,NULL,0 ,0.0
74,17-06-2023 2:00:00 - 3:00:00,45094.2916666667,NULL,NULL,NULL,NULL,0 ,0.0
75,17-06-2023 3:00:00 - 4:00:00,45094.3333333333,NULL,NULL,NULL,NULL,0 ,0.0
76,17-06-2023 4:00:00 - 5:00:00,45094.375,NULL,NULL,NULL,NULL,0 ,0.0
77,17-06-2023 5:00:00 - 6:00:00,45094.4166666667,NULL,NULL,NULL,NULL,0 ,0.0
78,17-06-2023 6:00:00 - 7:00:00,45094.4583333333,NULL,NULL,NULL,NULL,0 ,0.0
79,17-06-2023 7:00:00 - 8:00:00,45094.5,NULL,NULL,NULL,NULL,0 ,0.0
80,17-06-2023 8:00:00 - 9:00:00,45094.5416666667,NULL,NULL,NULL,NULL,0 ,0.0
81,17-06-2023 9:00:00 - 10:00:00,45094.5833333333,NULL,NULL,NULL,NULL,0 ,0.0
82,17-06-2023 10:00:00 - 11:00:00,45094.625,850,849.6053,0 ,0.0,100 ,10000.0
83,17-06-2023 11:00:00 - 12:00:00,45094.6666666667,871,870.7167,0 ,0.0,100 ,10000.0
84,17-06-2023 12:00:00 - 13:00:00,45094.7083333333,844,844.2833,0 ,0.0,100 ,10000.0
85,17-06-2023 13:00:00 - 14:00:00,45094.75,842,841.9333,0 ,0.0,100 ,10000.0
86,17-06-2023 14:00:00 - 15:00:00,45094.7916666667,837,837.4833,0 ,0.0,100 ,10000.0
87,17-06-2023 15:00:00 - 16:00:00,45094.8333333333,845,845.1333,0 ,0.0,100 ,10000.0
88,17-06-2023 16:00:00 - 17:00:00,45094.875,847,847.4667,0 ,0.0,100 ,10000.0
89,17-06-2023 17:00:00 - 18:00:00,45094.9166666667,842,842.45,0 ,0.0,100 ,10000.0
90,17-06-2023 18:00:00 - 19:00:00,45094.9583333333,835,835.25,0 ,0.0,100 ,10000.0
91,17-06-2023 19:00:00 - 20:00:00,45095.0,844,844.3333,0 ,0.0,100 ,10000.0
92,17-06-2023 20:00:00 - 21:00:00,45095.0416666667,864,864.3333,0 ,0.0,100 ,10000.0
93,17-06-2023 21:00:00 - 22:00:00,45095.0833333333,841,841.2,0 ,0.0,100 ,10000.0
94,17-06-2023 22:00:00 - 23:00:00,45095.125,843,843.2,0 ,0.0,100 ,10000.0
95,17-06-2023 23:00:00 - 0:00:00,45095.1666666667,836,836.15,0 ,0.0,100 ,10000.0
96,18-06-2023 0:00:00 - 1:00:00,45095.2083333333,838,838.1667,0 ,0.0,100 ,10000.0
97,18-06-2023 1:00:00 - 2:00:00,45095.25,1.184,1184.4,0 ,0.0,100 ,10000.0
98,18-06-2023 2:00:00 - 3:00:00,45095.2916666667,869,869.4833,0 ,0.0,100 ,10000.0
99,18-06-2023 3:00:00 - 4:00:00,45095.3333333333,856,855.8,0 ,0.0,100 ,10000.0
100,18-06-2023 4:00:00 - 5:00:00,45095.375,839,839.0,0 ,0.0,100 ,10000.0
101,18-06-2023 5:00:00 - 6:00:00,45095.4166666667,838,837.6333,0 ,0.0,100 ,10000.0
102,18-06-2023 6:00:00 - 7:00:00,45095.4583333333,836,836.25,0 ,0.0,100 ,10000.0
103,18-06-2023 7:00:00 - 8:00:00,45095.5,828,827.9667,0 ,0.0,100 ,10000.0
104,18-06-2023 8:00:00 - 9:00:00,45095.5416666667,837,836.7,0 ,0.0,100 ,10000.0
105,18-06-2023 9:00:00 - 10:00:00,45095.5833333333,834,834.4333,0 ,0.0,100 ,10000.0
106,18-06-2023 10:00:00 - 11:00:00,45095.625,835,835.0167,0 ,0.0,100 ,10000.0
107,18-06-2023 11:00:00 - 12:00:00,45095.6666666667,839,838.5,0 ,0.0,100 ,10000.0
108,18-06-2023 12:00:00 - 13:00:00,45095.7083333333,839,839.2667,0 ,0.0,100 ,10000.0
109,18-06-2023 13:00:00 - 14:00:00,45095.75,833,833.45,0 ,0.0,100 ,10000.0
110,18-06-2023 14:00:00 - 15:00:00,45095.7916666667,839,839.0,0 ,0.0,100 ,10000.0
111,18-06-2023 15:00:00 - 16:00:00,45095.8333333333,838,837.9,0 ,0.0,100 ,10000.0
112,18-06-2023 16:00:00 - 17:00:00,45095.875,843,842.5833,0 ,0.0,100 ,10000.0
